height,dt,profile_index,profile_name,stability_pct,lag,bitsq,hashrate_kh
5378,236,-1,E1,100.0,-4,16711680,1.404
5379,259,-1,E1,100.0,-3,16711680,1.081
5380,383,-1,E1,100.0,-3,16711680,1.598
5381,88,-1,E1,100.0,-2,16711680,1.602
5382,1453,0,B0,100.0,-3,15667200,1.41
5383,571,-1,E1,100.0,-3,16646400,1.309
5384,2211,-1,E1,100.0,-6,15606000,1.02
5385,94,-2,E2,100.0,-5,16581375,1.464
5386,473,-1,E1,100.0,-5,16711680,1.054
5387,35,-2,E2,100.0,-4,16711680,1.413
5388,840,-1,E1,100.0,-5,15667200,1.813
5389,47,-2,E2,100.0,-4,16646400,1.33
5390,258,-1,E1,100.0,-3,16711680,1.667
5391,284,-1,E1,100.0,-3,16711680,1.562
5392,969,-1,E1,100.0,-3,15667200,1.159
5393,96,-1,E1,100.0,-2,16646400,1.802
5394,267,0,B0,100.0,-2,16711680,1.412
5395,316,0,B0,100.0,-1,16711680,1.749
5396,910,0,B0,100.0,-2,15667200,1.71
5397,1048,0,B0,100.0,-3,14688000,1.161
5398,1319,-1,E1,100.0,-4,13770000,1.288
5399,781,-1,E1,100.0,-4,12909375,1.372
5400,189,-1,E1,100.0,-3,13716210,1.167
5401,2944,-1,E1,100.0,-7,12858947,1.444
5402,60,-2,E2,100.0,-6,13662631,1.356
5403,153,-2,E2,100.0,-6,14516545,1.4
5404,281,-2,E2,100.0,-5,15423829,1.412
5405,148,-2,E2,100.0,-4,16387818,1.324
5406,689,-1,E1,100.0,-4,15363580,1.082
5407,116,-1,E1,100.0,-4,16323803,1.43
5408,17,-1,E1,100.0,-3,16711680,1.616
5409,480,-1,E1,100.0,-2,16711680,1.588
5410,230,0,B0,100.0,-2,16711680,1.648
5411,885,0,B0,100.0,-2,15667200,1.514
5412,295,0,B0,100.0,-2,16646400,1.803
5413,576,0,B0,100.0,-2,16711680,0.944
5414,1098,0,B0,100.0,-3,15667200,1.447
5415,212,-1,E1,100.0,-2,16646400,1.706
5416,342,0,B0,100.0,-2,16711680,1.389
5417,262,0,B0,100.0,-1,16711680,1.567
5418,86,0,B0,100.0,0,16711680,1.506
5419,2616,1,H1,97.0,-3,15667200,1.337
5420,755,0,B0,100.0,-4,14688000,1.218
5421,793,-1,E1,100.0,-4,13770000,1.501
5422,726,-1,E1,100.0,-4,12909375,1.686
5423,189,-1,E1,100.0,-4,13716210,1.256
5424,568,-1,E1,100.0,-4,14573473,1.564
5425,13,-1,E1,100.0,-3,15484315,1.704
5426,640,-1,E1,100.0,-3,14516546,0.972
5427,2128,-1,E1,100.0,-5,13609262,1.748
5428,181,-2,E2,100.0,-4,14459840,1.59
5429,627,-1,E1,100.0,-5,13556100,1.0
5430,174,-2,E2,100.0,-4,14403356,1.704
5431,946,-1,E1,100.0,-4,13503147,1.542
5432,1042,-1,E1,100.0,-5,12659201,0.952
5433,202,-2,E2,100.0,-4,13450401,1.177
5434,453,-1,E1,100.0,-4,14291051,1.042
5435,688,-1,E1,100.0,-4,13397861,1.425
5436,48,-1,E1,100.0,-3,14235227,1.065
5437,354,-1,E1,100.0,-3,15124928,1.702
5438,1348,-1,E1,100.0,-4,14179620,1.129
5439,370,-1,E1,100.0,-4,15065846,1.04
5440,161,-1,E1,100.0,-3,16007461,1.141
5441,1109,-1,E1,100.0,-4,15006995,0.919
5442,408,-1,E1,100.0,-4,15944932,1.73
5443,345,-1,E1,100.0,-3,16711680,1.054
5444,451,-1,E1,100.0,-3,16711680,1.224
5445,231,-1,E1,100.0,-2,16711680,1.491
5446,1279,0,B0,100.0,-4,15667200,1.138
5447,277,-1,E1,100.0,-3,16646400,1.091
5448,125,-1,E1,100.0,-2,16711680,1.35
5449,466,0,B0,100.0,-2,16711680,1.43
5450,150,0,B0,100.0,-1,16711680,1.813
5451,465,0,B0,100.0,-1,16711680,1.8
5452,561,0,B0,100.0,-1,16711680,1.16
5453,694,0,B0,100.0,-1,15667200,1.534
5454,761,0,B0,100.0,-1,14688000,0.955
5455,1342,0,B0,100.0,-3,13770000,1.362
5456,855,-1,E1,100.0,-3,12909375,1.17
5457,185,-1,E1,100.0,-2,13716210,1.462
5458,507,0,B0,100.0,-2,14573473,1.489
5459,652,0,B0,100.0,-2,13662631,1.527
5460,941,0,B0,100.0,-3,12808717,1.51
5461,984,-1,E1,100.0,-3,12008173,1.482
5462,153,-1,E1,100.0,-3,12758683,1.498
5463,412,-1,E1,100.0,-2,13556100,1.311
5464,46,0,B0,100.0,-2,14403356,1.576
5465,910,0,B0,100.0,-2,13503147,1.179
5466,103,0,B0,100.0,-1,14347093,1.07
5467,1980,0,B0,100.0,-3,13450400,1.401
5468,1096,-1,E1,100.0,-4,12609750,1.393
5469,111,-1,E1,100.0,-4,13397859,1.666
5470,247,-1,E1,100.0,-3,14235225,1.66
5471,521,-1,E1,100.0,-3,15124926,1.644
5472,62,-1,E1,100.0,-2,16070233,1.218
5473,66,0,B0,100.0,-1,16711680,1.786
5474,857,0,B0,100.0,-1,15667200,1.79
5475,1943,0,B0,100.0,-4,14688000,1.569
5476,569,-1,E1,100.0,-4,15606000,1.79
5477,785,-1,E1,100.0,-4,14630625,1.243
5478,520,-1,E1,100.0,-4,15545039,0.923
5479,526,-1,E1,100.0,-4,16516603,1.324
5480,360,-1,E1,100.0,-3,16711680,1.522
5481,1060,-1,E1,100.0,-4,15667200,1.658
5482,164,-1,E1,100.0,-3,16646400,1.009
5483,1442,-1,E1,100.0,-5,15606000,0.933
5484,880,-2,E2,100.0,-5,14630625,1.421
5485,29,-2,E2,100.0,-4,15545039,1.111
5486,902,-1,E1,100.0,-5,14573475,1.66
5487,224,-2,E2,100.0,-4,15484317,1.185
5488,1758,-1,E1,100.0,-6,14516548,1.037
5489,289,-2,E2,100.0,-6,15423832,1.187
5490,1108,-2,E2,100.0,-6,14459843,0.998
5491,296,-2,E2,100.0,-6,15363583,1.033
5492,453,-2,E2,100.0,-6,16323806,1.52
5493,155,-2,E2,100.0,-5,16711680,1.771
5494,53,-2,E2,100.0,-4,16711680,1.585
5495,50,-1,E1,100.0,-3,16711680,1.288
5496,241,-1,E1,100.0,-2,16711680,1.355
5497,14,0,B0,100.0,-1,16711680,1.776
5498,366,0,B0,100.0,-1,16711680,1.247
5499,849,0,B0,100.0,-1,15667200,1.775
